oem,model,modelYear,Registration Year,Mileage,Fuel Type,Transmission,ownerNo,price,Gear Box,city,km,Safety,Interior,Exterior,Insurance Validity,bt
8,69,2018,2018.0,17.5,4,1,1,865000.0,5.0,0,46602.0,28.0,12.0,15.0,0,8
16,141,2014,2014.0,11.18,1,0,2,1000000.0,5.0,0,50000.0,22.0,11.0,18.0,2,8
17,179,2014,2014.0,25.2,1,1,2,535000.0,5.0,0,104000.0,21.0,10.0,9.0,0,2
6,50,2018,2018.0,23.0,1,1,1,975000.0,5.0,0,90000.0,34.0,12.0,13.0,0,8
17,157,2017,2017.0,21.4,4,1,1,699000.0,5.0,0,50035.0,27.0,12.0,13.0,2,2
27,265,2021,2021.0,17.57,4,1,1,1150000.0,6.0,0,80000.0,26.0,13.0,14.0,2,8
9,90,2015,2015.0,18.6,4,1,2,625000.0,5.0,0,90000.0,22.0,10.0,10.0,0,2
18,200,2011,2011.0,14.21,1,0,4,1000000.0,5.0,0,90000.0,26.0,12.0,12.0,2,7
28,281,2011,2011.0,21.43,1,1,1,600000.0,6.0,0,120000.0,15.0,8.0,8.0,2,7
17,180,2015,2015.0,22.41,4,1,1,675000.0,5.0,0,25170.0,24.0,12.0,11.0,2,7
17,163,2021,2021.0,20.65,4,1,1,893000.0,5.0,0,25022.0,22.0,8.0,10.0,0,7
17,179,2012,2012.0,22.9,1,1,2,420000.0,5.0,0,100000.0,15.0,9.0,8.0,2,2
17,163,2020,2020.0,20.65,4,1,1,941000.0,5.0,0,26367.0,22.0,8.0,10.0,3,7
9,75,2015,2015.0,14.5,4,0,2,630000.0,6.0,0,76567.0,27.0,11.0,9.0,3,7
28,289,2013,2013.0,12.99,1,1,2,1275000.0,5.0,0,120000.0,22.0,12.0,10.0,2,5
9,77,2015,2015.0,18.9,4,0,2,525000.0,4.0,0,36459.0,17.0,11.0,14.0,0,2
17,178,2016,2016.0,23.65,1,1,1,750000.0,5.0,0,93725.0,19.0,10.0,7.0,0,8
