oem,model,modelYear,Registration Year,Mileage,Fuel Type,Transmission,ownerNo,price,Gear Box,city,km,Safety,Interior,Exterior,Insurance Validity,bt
23,153,2019,2019.0,18.19,3,0,1,990000.0,7.0,0,20000.0,5.74468085106383,6.470588235294118,4.615384615384615,2,3
22,145,2018,2018.0,17.1,3,1,1,750000.0,6.0,0,30000.0,5.319148936170214,7.058823529411765,3.8461538461538463,2,3
7,33,2018,2018.0,19.0,3,0,1,755000.0,5.0,0,64374.0,4.468085106382979,6.470588235294118,4.230769230769231,1,0
15,63,2021,2021.0,17.41,1,1,1,1750000.0,6.0,0,30000.0,6.382978723404256,5.882352941176471,5.769230769230769,2,4
8,37,2022,2022.0,14.2,3,0,1,2083000.0,6.0,0,7100.0,6.595744680851064,8.823529411764707,8.076923076923077,0,4
8,53,2010,2010.0,19.81,3,1,1,271000.0,5.0,0,43679.0,1.9148936170212765,3.5294117647058827,1.153846153846154,0,0
8,39,2018,2018.0,14.8,3,0,1,1280000.0,6.0,0,40000.0,6.170212765957447,6.470588235294118,5.769230769230769,2,4
8,54,2012,2012.0,22.54,1,1,1,436000.00000000006,6.0,0,40562.0,2.127659574468085,2.941176470588235,1.5384615384615383,2,0
8,39,2021,2021.0,15.29,3,0,2,1675000.0,7.0,0,26500.0,5.319148936170214,6.470588235294118,6.538461538461538,0,4
8,49,2019,2019.0,18.15,3,0,1,1250000.0,7.0,0,20000.0,6.382978723404256,5.882352941176471,4.230769230769231,2,4
13,77,2015,2016.0,23.1,3,0,1,475000.0,5.0,0,65017.0,2.5531914893617023,4.705882352941177,1.5384615384615383,2,0
1,3,2008,2008.0,13.2,1,0,2,600000.0,6.0,0,80000.0,5.1063829787234045,6.470588235294118,4.615384615384615,2,3
9,57,2021,2021.0,14.1,3,0,1,2450000.0,7.0,0,30000.0,7.872340425531916,7.058823529411765,8.461538461538462,2,4
10,59,2020,2020.0,16.5,3,0,1,1625000.0,7.0,0,20000.0,7.021276595744681,7.647058823529413,7.3076923076923075,2,4
20,121,2014,2014.0,17.2,1,0,1,1650000.0,6.0,0,36349.0,3.617021276595745,5.294117647058824,3.4615384615384617,1,3
8,53,2009,2009.0,20.36,3,1,3,249000.00000000003,5.0,0,80000.0,2.127659574468085,4.11764705882353,1.153846153846154,2,0
